hb,hb_name,wdate,year,month,day,iswinter,age_band,admissions,avg_20182019,percent_var
S92000003,All Scotland,2022-03-13,2022,3,13,TRUE,18-74,388,NA,NA
S92000003,All Scotland,2022-03-20,2022,3,20,TRUE,18-74,447,NA,NA
S92000003,All Scotland,2022-03-27,2022,3,27,TRUE,18-74,448,NA,NA
S92000003,All Scotland,2022-04-03,2022,4,3,FALSE,18-74,389,NA,NA
S92000003,All Scotland,2022-04-10,2022,4,10,FALSE,18-74,332,NA,NA
S92000003,All Scotland,2022-04-17,2022,4,17,FALSE,18-74,268,NA,NA
S92000003,All Scotland,2022-04-24,2022,4,24,FALSE,18-74,217,NA,NA
S92000003,All Scotland,2022-05-01,2022,5,1,FALSE,18-74,174,NA,NA
S92000003,All Scotland,2022-05-08,2022,5,8,FALSE,18-74,147,NA,NA
S92000003,All Scotland,2022-05-15,2022,5,15,FALSE,18-74,121,NA,NA
S92000003,All Scotland,2022-05-22,2022,5,22,FALSE,18-74,113,NA,NA
S92000003,All Scotland,2022-05-29,2022,5,29,FALSE,18-74,140,NA,NA
S92000003,All Scotland,2022-06-05,2022,6,5,FALSE,18-74,166,NA,NA
S92000003,All Scotland,2022-06-12,2022,6,12,FALSE,18-74,223,NA,NA
S92000003,All Scotland,2022-06-19,2022,6,19,FALSE,18-74,239,NA,NA
S92000003,All Scotland,2022-06-26,2022,6,26,FALSE,18-74,368,NA,NA
S92000003,All Scotland,2022-07-03,2022,7,3,FALSE,18-74,387,NA,NA
S92000003,All Scotland,2022-07-10,2022,7,10,FALSE,18-74,378,NA,NA
S92000003,All Scotland,2022-07-17,2022,7,17,FALSE,18-74,361,NA,NA
S92000003,All Scotland,2022-07-24,2022,7,24,FALSE,18-74,302,NA,NA
S92000003,All Scotland,2022-07-31,2022,7,31,FALSE,18-74,222,NA,NA
S92000003,All Scotland,2022-08-07,2022,8,7,FALSE,18-74,175,NA,NA
S92000003,All Scotland,2022-08-14,2022,8,14,FALSE,18-74,146,NA,NA
S92000003,All Scotland,2022-08-21,2022,8,21,FALSE,18-74,108,NA,NA
S92000003,All Scotland,2022-08-28,2022,8,28,FALSE,18-74,121,NA,NA
S92000003,All Scotland,2022-09-04,2022,9,4,FALSE,18-74,119,NA,NA
S92000003,All Scotland,2022-09-11,2022,9,11,FALSE,18-74,133,NA,NA
S92000003,All Scotland,2022-09-18,2022,9,18,FALSE,18-74,120,NA,NA
S92000003,All Scotland,2022-09-25,2022,9,25,FALSE,18-74,117,NA,NA
S92000003,All Scotland,2022-10-02,2022,10,2,TRUE,18-74,89,NA,NA
S92000003,All Scotland,2022-10-09,2022,10,9,TRUE,18-74,92,NA,NA
S92000003,All Scotland,2022-10-16,2022,10,16,TRUE,18-74,90,NA,NA
S92000003,All Scotland,2020-03-01,2020,3,1,TRUE,18-74,0,NA,NA
S92000003,All Scotland,2020-03-08,2020,3,8,TRUE,18-74,0,NA,NA
S92000003,All Scotland,2020-03-15,2020,3,15,TRUE,18-74,34,NA,NA
S92000003,All Scotland,2020-03-22,2020,3,22,TRUE,18-74,132,NA,NA
S92000003,All Scotland,2020-03-29,2020,3,29,TRUE,18-74,460,NA,NA
S92000003,All Scotland,2020-04-05,2020,4,5,FALSE,18-74,694,NA,NA
S92000003,All Scotland,2020-04-12,2020,4,12,FALSE,18-74,447,NA,NA
S92000003,All Scotland,2020-04-19,2020,4,19,FALSE,18-74,292,NA,NA
S92000003,All Scotland,2020-04-26,2020,4,26,FALSE,18-74,181,NA,NA
S92000003,All Scotland,2020-05-03,2020,5,3,FALSE,18-74,151,NA,NA
S92000003,All Scotland,2020-05-10,2020,5,10,FALSE,18-74,102,NA,NA
S92000003,All Scotland,2020-05-17,2020,5,17,FALSE,18-74,67,NA,NA
S92000003,All Scotland,2020-05-24,2020,5,24,FALSE,18-74,29,NA,NA
S92000003,All Scotland,2020-05-31,2020,5,31,FALSE,18-74,24,NA,NA
S92000003,All Scotland,2020-06-07,2020,6,7,FALSE,18-74,5,NA,NA
S92000003,All Scotland,2020-06-14,2020,6,14,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-06-21,2020,6,21,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-06-28,2020,6,28,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-07-05,2020,7,5,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-07-12,2020,7,12,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-07-19,2020,7,19,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-07-26,2020,7,26,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-08-02,2020,8,2,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-08-09,2020,8,9,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-08-16,2020,8,16,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-08-23,2020,8,23,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-08-30,2020,8,30,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-09-06,2020,9,6,FALSE,18-74,5,NA,NA
S92000003,All Scotland,2020-09-13,2020,9,13,FALSE,18-74,6,NA,NA
S92000003,All Scotland,2020-09-20,2020,9,20,FALSE,18-74,34,NA,NA
S92000003,All Scotland,2020-09-27,2020,9,27,FALSE,18-74,72,NA,NA
S92000003,All Scotland,2020-10-04,2020,10,4,TRUE,18-74,119,NA,NA
S92000003,All Scotland,2020-10-11,2020,10,11,TRUE,18-74,221,NA,NA
S92000003,All Scotland,2020-10-18,2020,10,18,TRUE,18-74,358,NA,NA
S92000003,All Scotland,2020-10-25,2020,10,25,TRUE,18-74,422,NA,NA
S92000003,All Scotland,2020-11-01,2020,11,1,TRUE,18-74,409,NA,NA
S92000003,All Scotland,2020-11-08,2020,11,8,TRUE,18-74,286,NA,NA
S92000003,All Scotland,2020-11-15,2020,11,15,TRUE,18-74,305,NA,NA
S92000003,All Scotland,2020-11-22,2020,11,22,TRUE,18-74,295,NA,NA
S92000003,All Scotland,2020-11-29,2020,11,29,TRUE,18-74,230,NA,NA
S92000003,All Scotland,2020-12-06,2020,12,6,TRUE,18-74,195,NA,NA
S92000003,All Scotland,2020-12-13,2020,12,13,TRUE,18-74,184,NA,NA
S92000003,All Scotland,2020-12-20,2020,12,20,TRUE,18-74,250,NA,NA
S92000003,All Scotland,2020-12-27,2020,12,27,TRUE,18-74,244,NA,NA
S92000003,All Scotland,2021-01-03,2021,1,3,TRUE,18-74,448,NA,NA
S92000003,All Scotland,2021-01-10,2021,1,10,TRUE,18-74,617,NA,NA
S92000003,All Scotland,2021-01-17,2021,1,17,TRUE,18-74,657,NA,NA
S92000003,All Scotland,2021-01-24,2021,1,24,TRUE,18-74,573,NA,NA
S92000003,All Scotland,2021-01-31,2021,1,31,TRUE,18-74,445,NA,NA
S92000003,All Scotland,2021-02-07,2021,2,7,TRUE,18-74,377,NA,NA
S92000003,All Scotland,2021-02-14,2021,2,14,TRUE,18-74,315,NA,NA
S92000003,All Scotland,2021-02-21,2021,2,21,TRUE,18-74,312,NA,NA
S92000003,All Scotland,2021-02-28,2021,2,28,TRUE,18-74,254,NA,NA
S92000003,All Scotland,2021-03-07,2021,3,7,TRUE,18-74,185,NA,NA
S92000003,All Scotland,2021-03-14,2021,3,14,TRUE,18-74,147,NA,NA
S92000003,All Scotland,2021-03-21,2021,3,21,TRUE,18-74,131,NA,NA
S92000003,All Scotland,2021-03-28,2021,3,28,TRUE,18-74,122,NA,NA
S92000003,All Scotland,2021-04-04,2021,4,4,FALSE,18-74,75,NA,NA
S92000003,All Scotland,2021-04-11,2021,4,11,FALSE,18-74,79,NA,NA
S92000003,All Scotland,2021-04-18,2021,4,18,FALSE,18-74,43,NA,NA
S92000003,All Scotland,2021-04-25,2021,4,25,FALSE,18-74,43,NA,NA
S92000003,All Scotland,2021-05-02,2021,5,2,FALSE,18-74,28,NA,NA
S92000003,All Scotland,2021-05-09,2021,5,9,FALSE,18-74,35,NA,NA
S92000003,All Scotland,2021-05-16,2021,5,16,FALSE,18-74,41,NA,NA
S92000003,All Scotland,2021-05-23,2021,5,23,FALSE,18-74,78,NA,NA
S92000003,All Scotland,2021-05-30,2021,5,30,FALSE,18-74,83,NA,NA
S92000003,All Scotland,2021-06-06,2021,6,6,FALSE,18-74,106,NA,NA
S92000003,All Scotland,2021-06-13,2021,6,13,FALSE,18-74,114,NA,NA
S92000003,All Scotland,2021-06-20,2021,6,20,FALSE,18-74,148,NA,NA
S92000003,All Scotland,2021-06-27,2021,6,27,FALSE,18-74,150,NA,NA
S92000003,All Scotland,2021-07-04,2021,7,4,FALSE,18-74,276,NA,NA
S92000003,All Scotland,2021-07-11,2021,7,11,FALSE,18-74,363,NA,NA
S92000003,All Scotland,2021-07-18,2021,7,18,FALSE,18-74,326,NA,NA
S92000003,All Scotland,2021-07-25,2021,7,25,FALSE,18-74,258,NA,NA
S92000003,All Scotland,2021-08-01,2021,8,1,FALSE,18-74,190,NA,NA
S92000003,All Scotland,2021-08-08,2021,8,8,FALSE,18-74,178,NA,NA
S92000003,All Scotland,2021-08-15,2021,8,15,FALSE,18-74,143,NA,NA
S92000003,All Scotland,2021-08-22,2021,8,22,FALSE,18-74,181,NA,NA
S92000003,All Scotland,2021-08-29,2021,8,29,FALSE,18-74,338,NA,NA
S92000003,All Scotland,2021-09-05,2021,9,5,FALSE,18-74,462,NA,NA
S92000003,All Scotland,2021-09-12,2021,9,12,FALSE,18-74,584,NA,NA
S92000003,All Scotland,2021-09-19,2021,9,19,FALSE,18-74,529,NA,NA
S92000003,All Scotland,2021-09-26,2021,9,26,FALSE,18-74,389,NA,NA
S92000003,All Scotland,2021-10-03,2021,10,3,TRUE,18-74,334,NA,NA
S92000003,All Scotland,2021-10-10,2021,10,10,TRUE,18-74,315,NA,NA
S92000003,All Scotland,2021-10-17,2021,10,17,TRUE,18-74,266,NA,NA
S92000003,All Scotland,2021-10-24,2021,10,24,TRUE,18-74,337,NA,NA
S92000003,All Scotland,2021-10-31,2021,10,31,TRUE,18-74,358,NA,NA
S92000003,All Scotland,2021-11-07,2021,11,7,TRUE,18-74,329,NA,NA
S92000003,All Scotland,2021-11-14,2021,11,14,TRUE,18-74,345,NA,NA
S92000003,All Scotland,2021-11-21,2021,11,21,TRUE,18-74,275,NA,NA
S92000003,All Scotland,2021-11-28,2021,11,28,TRUE,18-74,268,NA,NA
S92000003,All Scotland,2021-12-05,2021,12,5,TRUE,18-74,226,NA,NA
S92000003,All Scotland,2021-12-12,2021,12,12,TRUE,18-74,261,NA,NA
S92000003,All Scotland,2021-12-19,2021,12,19,TRUE,18-74,233,NA,NA
S92000003,All Scotland,2021-12-26,2021,12,26,TRUE,18-74,267,NA,NA
S92000003,All Scotland,2022-01-02,2022,1,2,TRUE,18-74,427,NA,NA
S92000003,All Scotland,2022-01-09,2022,1,9,TRUE,18-74,440,NA,NA
S92000003,All Scotland,2022-01-16,2022,1,16,TRUE,18-74,387,NA,NA
S92000003,All Scotland,2022-01-23,2022,1,23,TRUE,18-74,304,NA,NA
S92000003,All Scotland,2022-01-30,2022,1,30,TRUE,18-74,236,NA,NA
S92000003,All Scotland,2022-02-06,2022,2,6,TRUE,18-74,231,NA,NA
S92000003,All Scotland,2022-02-13,2022,2,13,TRUE,18-74,236,NA,NA
S92000003,All Scotland,2022-02-20,2022,2,20,TRUE,18-74,245,NA,NA
S92000003,All Scotland,2022-02-27,2022,2,27,TRUE,18-74,278,NA,NA
S92000003,All Scotland,2022-03-06,2022,3,6,TRUE,18-74,293,NA,NA
S92000003,All Scotland,2022-03-13,2022,3,13,TRUE,18-74,388,NA,NA
S92000003,All Scotland,2022-03-20,2022,3,20,TRUE,18-74,447,NA,NA
S92000003,All Scotland,2022-03-27,2022,3,27,TRUE,18-74,448,NA,NA
S92000003,All Scotland,2022-04-03,2022,4,3,FALSE,18-74,389,NA,NA
S92000003,All Scotland,2022-04-10,2022,4,10,FALSE,18-74,332,NA,NA
S92000003,All Scotland,2022-04-17,2022,4,17,FALSE,18-74,268,NA,NA
S92000003,All Scotland,2022-04-24,2022,4,24,FALSE,18-74,217,NA,NA
S92000003,All Scotland,2022-05-01,2022,5,1,FALSE,18-74,174,NA,NA
S92000003,All Scotland,2022-05-08,2022,5,8,FALSE,18-74,147,NA,NA
S92000003,All Scotland,2022-05-15,2022,5,15,FALSE,18-74,121,NA,NA
S92000003,All Scotland,2022-05-22,2022,5,22,FALSE,18-74,113,NA,NA
S92000003,All Scotland,2022-05-29,2022,5,29,FALSE,18-74,140,NA,NA
S92000003,All Scotland,2022-06-05,2022,6,5,FALSE,18-74,166,NA,NA
S92000003,All Scotland,2022-06-12,2022,6,12,FALSE,18-74,223,NA,NA
S92000003,All Scotland,2022-06-19,2022,6,19,FALSE,18-74,239,NA,NA
S92000003,All Scotland,2022-06-26,2022,6,26,FALSE,18-74,368,NA,NA
S92000003,All Scotland,2022-07-03,2022,7,3,FALSE,18-74,387,NA,NA
S92000003,All Scotland,2022-07-10,2022,7,10,FALSE,18-74,378,NA,NA
S92000003,All Scotland,2022-07-17,2022,7,17,FALSE,18-74,361,NA,NA
S92000003,All Scotland,2022-07-24,2022,7,24,FALSE,18-74,302,NA,NA
S92000003,All Scotland,2022-07-31,2022,7,31,FALSE,18-74,222,NA,NA
S92000003,All Scotland,2022-08-07,2022,8,7,FALSE,18-74,175,NA,NA
S92000003,All Scotland,2022-08-14,2022,8,14,FALSE,18-74,146,NA,NA
S92000003,All Scotland,2022-08-21,2022,8,21,FALSE,18-74,108,NA,NA
S92000003,All Scotland,2022-08-28,2022,8,28,FALSE,18-74,121,NA,NA
S92000003,All Scotland,2022-09-04,2022,9,4,FALSE,18-74,119,NA,NA
S92000003,All Scotland,2022-09-11,2022,9,11,FALSE,18-74,133,NA,NA
S92000003,All Scotland,2022-09-18,2022,9,18,FALSE,18-74,120,NA,NA
S92000003,All Scotland,2022-09-25,2022,9,25,FALSE,18-74,117,NA,NA
S92000003,All Scotland,2022-10-02,2022,10,2,TRUE,18-74,89,NA,NA
S92000003,All Scotland,2022-10-09,2022,10,9,TRUE,18-74,92,NA,NA
S92000003,All Scotland,2022-10-16,2022,10,16,TRUE,18-74,90,NA,NA
S92000003,All Scotland,2020-03-01,2020,3,1,TRUE,18-74,0,NA,NA
S92000003,All Scotland,2020-03-08,2020,3,8,TRUE,18-74,0,NA,NA
S92000003,All Scotland,2020-03-15,2020,3,15,TRUE,18-74,34,NA,NA
S92000003,All Scotland,2020-03-22,2020,3,22,TRUE,18-74,132,NA,NA
S92000003,All Scotland,2020-03-29,2020,3,29,TRUE,18-74,460,NA,NA
S92000003,All Scotland,2020-04-05,2020,4,5,FALSE,18-74,694,NA,NA
S92000003,All Scotland,2020-04-12,2020,4,12,FALSE,18-74,447,NA,NA
S92000003,All Scotland,2020-04-19,2020,4,19,FALSE,18-74,292,NA,NA
S92000003,All Scotland,2020-04-26,2020,4,26,FALSE,18-74,181,NA,NA
S92000003,All Scotland,2020-05-03,2020,5,3,FALSE,18-74,151,NA,NA
S92000003,All Scotland,2020-05-10,2020,5,10,FALSE,18-74,102,NA,NA
S92000003,All Scotland,2020-05-17,2020,5,17,FALSE,18-74,67,NA,NA
S92000003,All Scotland,2020-05-24,2020,5,24,FALSE,18-74,29,NA,NA
S92000003,All Scotland,2020-05-31,2020,5,31,FALSE,18-74,24,NA,NA
S92000003,All Scotland,2020-06-07,2020,6,7,FALSE,18-74,5,NA,NA
S92000003,All Scotland,2020-06-14,2020,6,14,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-06-21,2020,6,21,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-06-28,2020,6,28,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-07-05,2020,7,5,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-07-12,2020,7,12,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-07-19,2020,7,19,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-07-26,2020,7,26,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-08-02,2020,8,2,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-08-09,2020,8,9,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-08-16,2020,8,16,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-08-23,2020,8,23,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-08-30,2020,8,30,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-09-06,2020,9,6,FALSE,18-74,5,NA,NA
S92000003,All Scotland,2020-09-13,2020,9,13,FALSE,18-74,6,NA,NA
S92000003,All Scotland,2020-09-20,2020,9,20,FALSE,18-74,34,NA,NA
S92000003,All Scotland,2020-09-27,2020,9,27,FALSE,18-74,72,NA,NA
S92000003,All Scotland,2020-10-04,2020,10,4,TRUE,18-74,119,NA,NA
S92000003,All Scotland,2020-10-11,2020,10,11,TRUE,18-74,221,NA,NA
S92000003,All Scotland,2020-10-18,2020,10,18,TRUE,18-74,358,NA,NA
S92000003,All Scotland,2020-10-25,2020,10,25,TRUE,18-74,422,NA,NA
S92000003,All Scotland,2020-11-01,2020,11,1,TRUE,18-74,409,NA,NA
S92000003,All Scotland,2020-11-08,2020,11,8,TRUE,18-74,286,NA,NA
S92000003,All Scotland,2020-11-15,2020,11,15,TRUE,18-74,305,NA,NA
S92000003,All Scotland,2020-11-22,2020,11,22,TRUE,18-74,295,NA,NA
S92000003,All Scotland,2020-11-29,2020,11,29,TRUE,18-74,230,NA,NA
S92000003,All Scotland,2020-12-06,2020,12,6,TRUE,18-74,195,NA,NA
S92000003,All Scotland,2020-12-13,2020,12,13,TRUE,18-74,184,NA,NA
S92000003,All Scotland,2020-12-20,2020,12,20,TRUE,18-74,250,NA,NA
S92000003,All Scotland,2020-12-27,2020,12,27,TRUE,18-74,244,NA,NA
S92000003,All Scotland,2021-01-03,2021,1,3,TRUE,18-74,448,NA,NA
S92000003,All Scotland,2021-01-10,2021,1,10,TRUE,18-74,617,NA,NA
S92000003,All Scotland,2021-01-17,2021,1,17,TRUE,18-74,657,NA,NA
S92000003,All Scotland,2021-01-24,2021,1,24,TRUE,18-74,573,NA,NA
S92000003,All Scotland,2021-01-31,2021,1,31,TRUE,18-74,445,NA,NA
S92000003,All Scotland,2021-02-07,2021,2,7,TRUE,18-74,377,NA,NA
S92000003,All Scotland,2021-02-14,2021,2,14,TRUE,18-74,315,NA,NA
S92000003,All Scotland,2021-02-21,2021,2,21,TRUE,18-74,312,NA,NA
S92000003,All Scotland,2021-02-28,2021,2,28,TRUE,18-74,254,NA,NA
S92000003,All Scotland,2021-03-07,2021,3,7,TRUE,18-74,185,NA,NA
S92000003,All Scotland,2021-03-14,2021,3,14,TRUE,18-74,147,NA,NA
S92000003,All Scotland,2021-03-21,2021,3,21,TRUE,18-74,131,NA,NA
S92000003,All Scotland,2021-03-28,2021,3,28,TRUE,18-74,122,NA,NA
S92000003,All Scotland,2021-04-04,2021,4,4,FALSE,18-74,75,NA,NA
S92000003,All Scotland,2021-04-11,2021,4,11,FALSE,18-74,79,NA,NA
S92000003,All Scotland,2021-04-18,2021,4,18,FALSE,18-74,43,NA,NA
S92000003,All Scotland,2021-04-25,2021,4,25,FALSE,18-74,43,NA,NA
S92000003,All Scotland,2021-05-02,2021,5,2,FALSE,18-74,28,NA,NA
S92000003,All Scotland,2021-05-09,2021,5,9,FALSE,18-74,35,NA,NA
S92000003,All Scotland,2021-05-16,2021,5,16,FALSE,18-74,41,NA,NA
S92000003,All Scotland,2021-05-23,2021,5,23,FALSE,18-74,78,NA,NA
S92000003,All Scotland,2021-05-30,2021,5,30,FALSE,18-74,83,NA,NA
S92000003,All Scotland,2021-06-06,2021,6,6,FALSE,18-74,106,NA,NA
S92000003,All Scotland,2021-06-13,2021,6,13,FALSE,18-74,114,NA,NA
S92000003,All Scotland,2021-06-20,2021,6,20,FALSE,18-74,148,NA,NA
S92000003,All Scotland,2021-06-27,2021,6,27,FALSE,18-74,150,NA,NA
S92000003,All Scotland,2021-07-04,2021,7,4,FALSE,18-74,276,NA,NA
S92000003,All Scotland,2021-07-11,2021,7,11,FALSE,18-74,363,NA,NA
S92000003,All Scotland,2021-07-18,2021,7,18,FALSE,18-74,326,NA,NA
S92000003,All Scotland,2021-07-25,2021,7,25,FALSE,18-74,258,NA,NA
S92000003,All Scotland,2021-08-01,2021,8,1,FALSE,18-74,190,NA,NA
S92000003,All Scotland,2021-08-08,2021,8,8,FALSE,18-74,178,NA,NA
S92000003,All Scotland,2021-08-15,2021,8,15,FALSE,18-74,143,NA,NA
S92000003,All Scotland,2021-08-22,2021,8,22,FALSE,18-74,181,NA,NA
S92000003,All Scotland,2021-08-29,2021,8,29,FALSE,18-74,338,NA,NA
S92000003,All Scotland,2021-09-05,2021,9,5,FALSE,18-74,462,NA,NA
S92000003,All Scotland,2021-09-12,2021,9,12,FALSE,18-74,584,NA,NA
S92000003,All Scotland,2021-09-19,2021,9,19,FALSE,18-74,529,NA,NA
S92000003,All Scotland,2021-09-26,2021,9,26,FALSE,18-74,389,NA,NA
S92000003,All Scotland,2021-10-03,2021,10,3,TRUE,18-74,334,NA,NA
S92000003,All Scotland,2021-10-10,2021,10,10,TRUE,18-74,315,NA,NA
S92000003,All Scotland,2021-10-17,2021,10,17,TRUE,18-74,266,NA,NA
S92000003,All Scotland,2021-10-24,2021,10,24,TRUE,18-74,337,NA,NA
S92000003,All Scotland,2021-10-31,2021,10,31,TRUE,18-74,358,NA,NA
S92000003,All Scotland,2021-11-07,2021,11,7,TRUE,18-74,329,NA,NA
S92000003,All Scotland,2021-11-14,2021,11,14,TRUE,18-74,345,NA,NA
S92000003,All Scotland,2021-11-21,2021,11,21,TRUE,18-74,275,NA,NA
S92000003,All Scotland,2021-11-28,2021,11,28,TRUE,18-74,268,NA,NA
S92000003,All Scotland,2021-12-05,2021,12,5,TRUE,18-74,226,NA,NA
S92000003,All Scotland,2021-12-12,2021,12,12,TRUE,18-74,261,NA,NA
S92000003,All Scotland,2021-12-19,2021,12,19,TRUE,18-74,233,NA,NA
S92000003,All Scotland,2021-12-26,2021,12,26,TRUE,18-74,267,NA,NA
S92000003,All Scotland,2022-01-02,2022,1,2,TRUE,18-74,427,NA,NA
S92000003,All Scotland,2022-01-09,2022,1,9,TRUE,18-74,440,NA,NA
S92000003,All Scotland,2022-01-16,2022,1,16,TRUE,18-74,387,NA,NA
S92000003,All Scotland,2022-01-23,2022,1,23,TRUE,18-74,304,NA,NA
S92000003,All Scotland,2022-01-30,2022,1,30,TRUE,18-74,236,NA,NA
S92000003,All Scotland,2022-02-06,2022,2,6,TRUE,18-74,231,NA,NA
S92000003,All Scotland,2022-02-13,2022,2,13,TRUE,18-74,236,NA,NA
S92000003,All Scotland,2022-02-20,2022,2,20,TRUE,18-74,245,NA,NA
S92000003,All Scotland,2022-02-27,2022,2,27,TRUE,18-74,278,NA,NA
S92000003,All Scotland,2022-03-06,2022,3,6,TRUE,18-74,293,NA,NA
S92000003,All Scotland,2022-03-13,2022,3,13,TRUE,18-74,388,NA,NA
S92000003,All Scotland,2022-03-20,2022,3,20,TRUE,18-74,447,NA,NA
S92000003,All Scotland,2022-03-27,2022,3,27,TRUE,18-74,448,NA,NA
S92000003,All Scotland,2022-04-03,2022,4,3,FALSE,18-74,389,NA,NA
S92000003,All Scotland,2022-04-10,2022,4,10,FALSE,18-74,332,NA,NA
S92000003,All Scotland,2022-04-17,2022,4,17,FALSE,18-74,268,NA,NA
S92000003,All Scotland,2022-04-24,2022,4,24,FALSE,18-74,217,NA,NA
S92000003,All Scotland,2022-05-01,2022,5,1,FALSE,18-74,174,NA,NA
S92000003,All Scotland,2022-05-08,2022,5,8,FALSE,18-74,147,NA,NA
S92000003,All Scotland,2022-05-15,2022,5,15,FALSE,18-74,121,NA,NA
S92000003,All Scotland,2022-05-22,2022,5,22,FALSE,18-74,113,NA,NA
S92000003,All Scotland,2022-05-29,2022,5,29,FALSE,18-74,140,NA,NA
S92000003,All Scotland,2022-06-05,2022,6,5,FALSE,18-74,166,NA,NA
S92000003,All Scotland,2022-06-12,2022,6,12,FALSE,18-74,223,NA,NA
S92000003,All Scotland,2022-06-19,2022,6,19,FALSE,18-74,239,NA,NA
S92000003,All Scotland,2022-06-26,2022,6,26,FALSE,18-74,368,NA,NA
S92000003,All Scotland,2022-07-03,2022,7,3,FALSE,18-74,387,NA,NA
S92000003,All Scotland,2022-07-10,2022,7,10,FALSE,18-74,378,NA,NA
S92000003,All Scotland,2022-07-17,2022,7,17,FALSE,18-74,361,NA,NA
S92000003,All Scotland,2022-07-24,2022,7,24,FALSE,18-74,302,NA,NA
S92000003,All Scotland,2022-07-31,2022,7,31,FALSE,18-74,222,NA,NA
S92000003,All Scotland,2022-08-07,2022,8,7,FALSE,18-74,175,NA,NA
S92000003,All Scotland,2022-08-14,2022,8,14,FALSE,18-74,146,NA,NA
S92000003,All Scotland,2022-08-21,2022,8,21,FALSE,18-74,108,NA,NA
S92000003,All Scotland,2022-08-28,2022,8,28,FALSE,18-74,121,NA,NA
S92000003,All Scotland,2022-09-04,2022,9,4,FALSE,18-74,119,NA,NA
S92000003,All Scotland,2022-09-11,2022,9,11,FALSE,18-74,133,NA,NA
S92000003,All Scotland,2022-09-18,2022,9,18,FALSE,18-74,120,NA,NA
S92000003,All Scotland,2022-09-25,2022,9,25,FALSE,18-74,117,NA,NA
S92000003,All Scotland,2022-10-02,2022,10,2,TRUE,18-74,89,NA,NA
S92000003,All Scotland,2022-10-09,2022,10,9,TRUE,18-74,92,NA,NA
S92000003,All Scotland,2022-10-16,2022,10,16,TRUE,18-74,90,NA,NA
S92000003,All Scotland,2020-03-01,2020,3,1,TRUE,18-74,0,NA,NA
S92000003,All Scotland,2020-03-08,2020,3,8,TRUE,18-74,0,NA,NA
S92000003,All Scotland,2020-03-15,2020,3,15,TRUE,18-74,34,NA,NA
S92000003,All Scotland,2020-03-22,2020,3,22,TRUE,18-74,132,NA,NA
S92000003,All Scotland,2020-03-29,2020,3,29,TRUE,18-74,460,NA,NA
S92000003,All Scotland,2020-04-05,2020,4,5,FALSE,18-74,694,NA,NA
S92000003,All Scotland,2020-04-12,2020,4,12,FALSE,18-74,447,NA,NA
S92000003,All Scotland,2020-04-19,2020,4,19,FALSE,18-74,292,NA,NA
S92000003,All Scotland,2020-04-26,2020,4,26,FALSE,18-74,181,NA,NA
S92000003,All Scotland,2020-05-03,2020,5,3,FALSE,18-74,151,NA,NA
S92000003,All Scotland,2020-05-10,2020,5,10,FALSE,18-74,102,NA,NA
S92000003,All Scotland,2020-05-17,2020,5,17,FALSE,18-74,67,NA,NA
S92000003,All Scotland,2020-05-24,2020,5,24,FALSE,18-74,29,NA,NA
S92000003,All Scotland,2020-05-31,2020,5,31,FALSE,18-74,24,NA,NA
S92000003,All Scotland,2020-06-07,2020,6,7,FALSE,18-74,5,NA,NA
S92000003,All Scotland,2020-06-14,2020,6,14,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-06-21,2020,6,21,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-06-28,2020,6,28,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-07-05,2020,7,5,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-07-12,2020,7,12,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-07-19,2020,7,19,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-07-26,2020,7,26,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-08-02,2020,8,2,FALSE,18-74,0,NA,NA
S92000003,All Scotland,2020-08-09,2020,8,9,FALSE,18-74,0,NA,NA
