hb,hb_name,wdate,year,month,day,iswinter,age_band,admissions,age_band_new
S92000003,All Scotland,2021-01-17,2021,1,17,TRUE,Under 18,15,Under 18
S92000003,All Scotland,2021-01-24,2021,1,24,TRUE,Under 18,14,Under 18
S92000003,All Scotland,2021-01-31,2021,1,31,TRUE,Under 18,11,Under 18
S92000003,All Scotland,2021-02-07,2021,2,7,TRUE,Under 18,12,Under 18
S92000003,All Scotland,2021-02-14,2021,2,14,TRUE,Under 18,9,Under 18
S92000003,All Scotland,2021-02-21,2021,2,21,TRUE,Under 18,10,Under 18
S92000003,All Scotland,2021-02-28,2021,2,28,TRUE,Under 18,7,Under 18
S92000003,All Scotland,2021-03-07,2021,3,7,TRUE,Under 18,NA,Under 18
S92000003,All Scotland,2021-03-14,2021,3,14,TRUE,Under 18,6,Under 18
S92000003,All Scotland,2021-03-21,2021,3,21,TRUE,Under 18,8,Under 18
S92000003,All Scotland,2021-03-28,2021,3,28,TRUE,Under 18,NA,Under 18
S92000003,All Scotland,2021-04-04,2021,4,4,FALSE,Under 18,14,Under 18
S92000003,All Scotland,2021-04-11,2021,4,11,FALSE,Under 18,9,Under 18
S92000003,All Scotland,2021-04-18,2021,4,18,FALSE,Under 18,NA,Under 18
S92000003,All Scotland,2021-04-25,2021,4,25,FALSE,Under 18,NA,Under 18
S92000003,All Scotland,2021-05-02,2021,5,2,FALSE,Under 18,NA,Under 18
S92000003,All Scotland,2021-05-09,2021,5,9,FALSE,Under 18,NA,Under 18
S92000003,All Scotland,2021-05-16,2021,5,16,FALSE,Under 18,NA,Under 18
S92000003,All Scotland,2021-05-23,2021,5,23,FALSE,Under 18,9,Under 18
S92000003,All Scotland,2021-05-30,2021,5,30,FALSE,Under 18,9,Under 18
S92000003,All Scotland,2021-06-06,2021,6,6,FALSE,Under 18,17,Under 18
S92000003,All Scotland,2021-06-13,2021,6,13,FALSE,Under 18,19,Under 18
S92000003,All Scotland,2021-06-20,2021,6,20,FALSE,Under 18,17,Under 18
S92000003,All Scotland,2021-06-27,2021,6,27,FALSE,Under 18,29,Under 18
S92000003,All Scotland,2021-07-04,2021,7,4,FALSE,Under 18,31,Under 18
S92000003,All Scotland,2021-07-11,2021,7,11,FALSE,Under 18,26,Under 18
S92000003,All Scotland,2021-07-18,2021,7,18,FALSE,Under 18,34,Under 18
S92000003,All Scotland,2021-07-25,2021,7,25,FALSE,Under 18,21,Under 18
S92000003,All Scotland,2021-08-01,2021,8,1,FALSE,Under 18,26,Under 18
S92000003,All Scotland,2021-08-08,2021,8,8,FALSE,Under 18,18,Under 18
S92000003,All Scotland,2021-08-15,2021,8,15,FALSE,Under 18,24,Under 18
S92000003,All Scotland,2021-08-22,2021,8,22,FALSE,Under 18,23,Under 18
S92000003,All Scotland,2021-08-29,2021,8,29,FALSE,Under 18,47,Under 18
S92000003,All Scotland,2021-09-05,2021,9,5,FALSE,Under 18,65,Under 18
S92000003,All Scotland,2021-09-12,2021,9,12,FALSE,Under 18,79,Under 18
S92000003,All Scotland,2021-09-19,2021,9,19,FALSE,Under 18,65,Under 18
S92000003,All Scotland,2021-09-26,2021,9,26,FALSE,Under 18,54,Under 18
S92000003,All Scotland,2021-10-03,2021,10,3,TRUE,Under 18,35,Under 18
S92000003,All Scotland,2021-10-10,2021,10,10,TRUE,Under 18,40,Under 18
S92000003,All Scotland,2021-10-17,2021,10,17,TRUE,Under 18,23,Under 18
S92000003,All Scotland,2021-10-24,2021,10,24,TRUE,Under 18,32,Under 18
S92000003,All Scotland,2021-10-31,2021,10,31,TRUE,Under 18,22,Under 18
S92000003,All Scotland,2021-11-07,2021,11,7,TRUE,Under 18,28,Under 18
S92000003,All Scotland,2021-11-14,2021,11,14,TRUE,Under 18,29,Under 18
S92000003,All Scotland,2021-11-21,2021,11,21,TRUE,Under 18,26,Under 18
S92000003,All Scotland,2021-11-28,2021,11,28,TRUE,Under 18,37,Under 18
S92000003,All Scotland,2021-12-05,2021,12,5,TRUE,Under 18,32,Under 18
S92000003,All Scotland,2021-12-12,2021,12,12,TRUE,Under 18,39,Under 18
S92000003,All Scotland,2021-12-19,2021,12,19,TRUE,Under 18,39,Under 18
S92000003,All Scotland,2021-12-26,2021,12,26,TRUE,Under 18,54,Under 18
S92000003,All Scotland,2022-01-02,2022,1,2,TRUE,Under 18,101,Under 18
S92000003,All Scotland,2022-01-09,2022,1,9,TRUE,Under 18,99,Under 18
S92000003,All Scotland,2022-01-16,2022,1,16,TRUE,Under 18,103,Under 18
S92000003,All Scotland,2022-01-23,2022,1,23,TRUE,Under 18,100,Under 18
S92000003,All Scotland,2022-01-30,2022,1,30,TRUE,Under 18,95,Under 18
S92000003,All Scotland,2022-02-06,2022,2,6,TRUE,Under 18,96,Under 18
S92000003,All Scotland,2022-02-13,2022,2,13,TRUE,Under 18,62,Under 18
S92000003,All Scotland,2022-02-20,2022,2,20,TRUE,Under 18,79,Under 18
S92000003,All Scotland,2022-02-27,2022,2,27,TRUE,Under 18,93,Under 18
S92000003,All Scotland,2022-03-06,2022,3,6,TRUE,Under 18,102,Under 18
S92000003,All Scotland,2022-03-13,2022,3,13,TRUE,Under 18,128,Under 18
S92000003,All Scotland,2022-03-20,2022,3,20,TRUE,Under 18,136,Under 18
S92000003,All Scotland,2022-03-27,2022,3,27,TRUE,Under 18,130,Under 18
S92000003,All Scotland,2022-04-03,2022,4,3,FALSE,Under 18,113,Under 18
S92000003,All Scotland,2022-04-10,2022,4,10,FALSE,Under 18,80,Under 18
S92000003,All Scotland,2022-04-17,2022,4,17,FALSE,Under 18,70,Under 18
S92000003,All Scotland,2022-04-24,2022,4,24,FALSE,Under 18,40,Under 18
S92000003,All Scotland,2022-05-01,2022,5,1,FALSE,Under 18,32,Under 18
S92000003,All Scotland,2022-05-08,2022,5,8,FALSE,Under 18,29,Under 18
S92000003,All Scotland,2022-05-15,2022,5,15,FALSE,Under 18,34,Under 18
S92000003,All Scotland,2022-05-22,2022,5,22,FALSE,Under 18,19,Under 18
S92000003,All Scotland,2022-05-29,2022,5,29,FALSE,Under 18,31,Under 18
S92000003,All Scotland,2022-06-05,2022,6,5,FALSE,Under 18,39,Under 18
S92000003,All Scotland,2022-06-12,2022,6,12,FALSE,Under 18,47,Under 18
S92000003,All Scotland,2022-06-19,2022,6,19,FALSE,Under 18,66,Under 18
S92000003,All Scotland,2022-06-26,2022,6,26,FALSE,Under 18,78,Under 18
S92000003,All Scotland,2022-07-03,2022,7,3,FALSE,Under 18,96,Under 18
S92000003,All Scotland,2022-07-10,2022,7,10,FALSE,Under 18,75,Under 18
S92000003,All Scotland,2022-07-17,2022,7,17,FALSE,Under 18,61,Under 18
S92000003,All Scotland,2022-07-24,2022,7,24,FALSE,Under 18,55,Under 18
S92000003,All Scotland,2022-07-31,2022,7,31,FALSE,Under 18,51,Under 18
S92000003,All Scotland,2022-08-07,2022,8,7,FALSE,Under 18,44,Under 18
S92000003,All Scotland,2022-08-14,2022,8,14,FALSE,Under 18,34,Under 18
S92000003,All Scotland,2022-08-21,2022,8,21,FALSE,Under 18,26,Under 18
S92000003,All Scotland,2022-08-28,2022,8,28,FALSE,Under 18,41,Under 18
S92000003,All Scotland,2022-09-04,2022,9,4,FALSE,Under 18,36,Under 18
S92000003,All Scotland,2022-09-11,2022,9,11,FALSE,Under 18,24,Under 18
S92000003,All Scotland,2022-09-18,2022,9,18,FALSE,Under 18,27,Under 18
S92000003,All Scotland,2022-09-25,2022,9,25,FALSE,Under 18,22,Under 18
S92000003,All Scotland,2022-10-02,2022,10,2,TRUE,Under 18,15,Under 18
S92000003,All Scotland,2022-10-09,2022,10,9,TRUE,Under 18,23,Under 18
S92000003,All Scotland,2022-10-16,2022,10,16,TRUE,Under 18,19,Under 18
S92000003,All Scotland,2020-03-01,2020,3,1,TRUE,18-29,0,18-74
S92000003,All Scotland,2020-03-08,2020,3,8,TRUE,18-29,NA,18-74
S92000003,All Scotland,2020-03-15,2020,3,15,TRUE,18-29,10,18-74
S92000003,All Scotland,2020-03-22,2020,3,22,TRUE,18-29,NA,18-74
S92000003,All Scotland,2020-03-29,2020,3,29,TRUE,18-29,12,18-74
S92000003,All Scotland,2020-04-05,2020,4,5,FALSE,18-29,8,18-74
S92000003,All Scotland,2020-04-12,2020,4,12,FALSE,18-29,NA,18-74
S92000003,All Scotland,2020-04-19,2020,4,19,FALSE,18-29,NA,18-74
S92000003,All Scotland,2020-04-26,2020,4,26,FALSE,18-29,NA,18-74
S92000003,All Scotland,2020-05-03,2020,5,3,FALSE,18-29,NA,18-74
S92000003,All Scotland,2020-05-10,2020,5,10,FALSE,18-29,NA,18-74
S92000003,All Scotland,2020-05-17,2020,5,17,FALSE,18-29,NA,18-74
S92000003,All Scotland,2020-05-24,2020,5,24,FALSE,18-29,NA,18-74
S92000003,All Scotland,2020-05-31,2020,5,31,FALSE,18-29,0,18-74
S92000003,All Scotland,2020-06-07,2020,6,7,FALSE,18-29,0,18-74
S92000003,All Scotland,2020-06-14,2020,6,14,FALSE,18-29,NA,18-74
S92000003,All Scotland,2020-06-21,2020,6,21,FALSE,18-29,0,18-74
S92000003,All Scotland,2020-06-28,2020,6,28,FALSE,18-29,0,18-74
S92000003,All Scotland,2020-07-05,2020,7,5,FALSE,18-29,0,18-74
S92000003,All Scotland,2020-07-12,2020,7,12,FALSE,18-29,0,18-74
S92000003,All Scotland,2020-07-19,2020,7,19,FALSE,18-29,0,18-74
S92000003,All Scotland,2020-07-26,2020,7,26,FALSE,18-29,NA,18-74
S92000003,All Scotland,2020-08-02,2020,8,2,FALSE,18-29,0,18-74
S92000003,All Scotland,2020-08-09,2020,8,9,FALSE,18-29,0,18-74
S92000003,All Scotland,2020-08-16,2020,8,16,FALSE,18-29,NA,18-74
S92000003,All Scotland,2020-08-23,2020,8,23,FALSE,18-29,NA,18-74
S92000003,All Scotland,2020-08-30,2020,8,30,FALSE,18-29,NA,18-74
S92000003,All Scotland,2020-09-06,2020,9,6,FALSE,18-29,0,18-74
S92000003,All Scotland,2020-09-13,2020,9,13,FALSE,18-29,NA,18-74
S92000003,All Scotland,2020-09-20,2020,9,20,FALSE,18-29,NA,18-74
S92000003,All Scotland,2020-09-27,2020,9,27,FALSE,18-29,NA,18-74
S92000003,All Scotland,2020-10-04,2020,10,4,TRUE,18-29,NA,18-74
S92000003,All Scotland,2020-10-11,2020,10,11,TRUE,18-29,9,18-74
S92000003,All Scotland,2020-10-18,2020,10,18,TRUE,18-29,14,18-74
S92000003,All Scotland,2020-10-25,2020,10,25,TRUE,18-29,11,18-74
S92000003,All Scotland,2020-11-01,2020,11,1,TRUE,18-29,21,18-74
S92000003,All Scotland,2020-11-08,2020,11,8,TRUE,18-29,8,18-74
S92000003,All Scotland,2020-11-15,2020,11,15,TRUE,18-29,16,18-74
S92000003,All Scotland,2020-11-22,2020,11,22,TRUE,18-29,13,18-74
S92000003,All Scotland,2020-11-29,2020,11,29,TRUE,18-29,8,18-74
S92000003,All Scotland,2020-12-06,2020,12,6,TRUE,18-29,11,18-74
S92000003,All Scotland,2020-12-13,2020,12,13,TRUE,18-29,NA,18-74
S92000003,All Scotland,2020-12-20,2020,12,20,TRUE,18-29,11,18-74
S92000003,All Scotland,2020-12-27,2020,12,27,TRUE,18-29,10,18-74
S92000003,All Scotland,2021-01-03,2021,1,3,TRUE,18-29,15,18-74
S92000003,All Scotland,2021-01-10,2021,1,10,TRUE,18-29,30,18-74
S92000003,All Scotland,2021-01-17,2021,1,17,TRUE,18-29,19,18-74
S92000003,All Scotland,2021-01-24,2021,1,24,TRUE,18-29,24,18-74
S92000003,All Scotland,2021-01-31,2021,1,31,TRUE,18-29,13,18-74
S92000003,All Scotland,2021-02-07,2021,2,7,TRUE,18-29,18,18-74
S92000003,All Scotland,2021-02-14,2021,2,14,TRUE,18-29,15,18-74
S92000003,All Scotland,2021-02-21,2021,2,21,TRUE,18-29,16,18-74
S92000003,All Scotland,2021-02-28,2021,2,28,TRUE,18-29,14,18-74
S92000003,All Scotland,2021-03-07,2021,3,7,TRUE,18-29,8,18-74
S92000003,All Scotland,2021-03-14,2021,3,14,TRUE,18-29,12,18-74
S92000003,All Scotland,2021-03-21,2021,3,21,TRUE,18-29,13,18-74
S92000003,All Scotland,2021-03-28,2021,3,28,TRUE,18-29,11,18-74
S92000003,All Scotland,2021-04-04,2021,4,4,FALSE,18-29,NA,18-74
S92000003,All Scotland,2021-04-11,2021,4,11,FALSE,18-29,7,18-74
S92000003,All Scotland,2021-04-18,2021,4,18,FALSE,18-29,9,18-74
S92000003,All Scotland,2021-04-25,2021,4,25,FALSE,18-29,8,18-74
S92000003,All Scotland,2021-05-02,2021,5,2,FALSE,18-29,NA,18-74
S92000003,All Scotland,2021-05-09,2021,5,9,FALSE,18-29,5,18-74
S92000003,All Scotland,2021-05-16,2021,5,16,FALSE,18-29,5,18-74
S92000003,All Scotland,2021-05-23,2021,5,23,FALSE,18-29,13,18-74
S92000003,All Scotland,2021-05-30,2021,5,30,FALSE,18-29,6,18-74
S92000003,All Scotland,2021-06-06,2021,6,6,FALSE,18-29,20,18-74
S92000003,All Scotland,2021-06-13,2021,6,13,FALSE,18-29,19,18-74
S92000003,All Scotland,2021-06-20,2021,6,20,FALSE,18-29,22,18-74
S92000003,All Scotland,2021-06-27,2021,6,27,FALSE,18-29,32,18-74
S92000003,All Scotland,2021-07-04,2021,7,4,FALSE,18-29,48,18-74
S92000003,All Scotland,2021-07-11,2021,7,11,FALSE,18-29,73,18-74
S92000003,All Scotland,2021-07-18,2021,7,18,FALSE,18-29,48,18-74
S92000003,All Scotland,2021-07-25,2021,7,25,FALSE,18-29,35,18-74
S92000003,All Scotland,2021-08-01,2021,8,1,FALSE,18-29,27,18-74
S92000003,All Scotland,2021-08-08,2021,8,8,FALSE,18-29,18,18-74
S92000003,All Scotland,2021-08-15,2021,8,15,FALSE,18-29,17,18-74
S92000003,All Scotland,2021-08-22,2021,8,22,FALSE,18-29,21,18-74
S92000003,All Scotland,2021-08-29,2021,8,29,FALSE,18-29,43,18-74
S92000003,All Scotland,2021-09-05,2021,9,5,FALSE,18-29,48,18-74
S92000003,All Scotland,2021-09-12,2021,9,12,FALSE,18-29,45,18-74
S92000003,All Scotland,2021-09-19,2021,9,19,FALSE,18-29,28,18-74
S92000003,All Scotland,2021-09-26,2021,9,26,FALSE,18-29,25,18-74
S92000003,All Scotland,2021-10-03,2021,10,3,TRUE,18-29,15,18-74
S92000003,All Scotland,2021-10-10,2021,10,10,TRUE,18-29,17,18-74
S92000003,All Scotland,2021-10-17,2021,10,17,TRUE,18-29,14,18-74
S92000003,All Scotland,2021-10-24,2021,10,24,TRUE,18-29,19,18-74
S92000003,All Scotland,2021-10-31,2021,10,31,TRUE,18-29,18,18-74
S92000003,All Scotland,2021-11-07,2021,11,7,TRUE,18-29,16,18-74
S92000003,All Scotland,2021-11-14,2021,11,14,TRUE,18-29,18,18-74
S92000003,All Scotland,2021-11-21,2021,11,21,TRUE,18-29,12,18-74
S92000003,All Scotland,2021-11-28,2021,11,28,TRUE,18-29,13,18-74
S92000003,All Scotland,2021-12-05,2021,12,5,TRUE,18-29,19,18-74
S92000003,All Scotland,2021-12-12,2021,12,12,TRUE,18-29,15,18-74
S92000003,All Scotland,2021-12-19,2021,12,19,TRUE,18-29,20,18-74
S92000003,All Scotland,2021-12-26,2021,12,26,TRUE,18-29,36,18-74
S92000003,All Scotland,2022-01-02,2022,1,2,TRUE,18-29,50,18-74
S92000003,All Scotland,2022-01-09,2022,1,9,TRUE,18-29,52,18-74
S92000003,All Scotland,2022-01-16,2022,1,16,TRUE,18-29,37,18-74
S92000003,All Scotland,2022-01-23,2022,1,23,TRUE,18-29,35,18-74
S92000003,All Scotland,2022-01-30,2022,1,30,TRUE,18-29,24,18-74
S92000003,All Scotland,2022-02-06,2022,2,6,TRUE,18-29,25,18-74
S92000003,All Scotland,2022-02-13,2022,2,13,TRUE,18-29,40,18-74
S92000003,All Scotland,2022-02-20,2022,2,20,TRUE,18-29,30,18-74
S92000003,All Scotland,2022-02-27,2022,2,27,TRUE,18-29,23,18-74
S92000003,All Scotland,2022-03-06,2022,3,6,TRUE,18-29,26,18-74
S92000003,All Scotland,2022-03-13,2022,3,13,TRUE,18-29,29,18-74
S92000003,All Scotland,2022-03-20,2022,3,20,TRUE,18-29,43,18-74
S92000003,All Scotland,2022-03-27,2022,3,27,TRUE,18-29,47,18-74
S92000003,All Scotland,2022-04-03,2022,4,3,FALSE,18-29,27,18-74
S92000003,All Scotland,2022-04-10,2022,4,10,FALSE,18-29,24,18-74
S92000003,All Scotland,2022-04-17,2022,4,17,FALSE,18-29,28,18-74
S92000003,All Scotland,2022-04-24,2022,4,24,FALSE,18-29,13,18-74
S92000003,All Scotland,2022-05-01,2022,5,1,FALSE,18-29,10,18-74
S92000003,All Scotland,2022-05-08,2022,5,8,FALSE,18-29,7,18-74
S92000003,All Scotland,2022-05-15,2022,5,15,FALSE,18-29,NA,18-74
S92000003,All Scotland,2022-05-22,2022,5,22,FALSE,18-29,6,18-74
S92000003,All Scotland,2022-05-29,2022,5,29,FALSE,18-29,10,18-74
S92000003,All Scotland,2022-06-05,2022,6,5,FALSE,18-29,9,18-74
S92000003,All Scotland,2022-06-12,2022,6,12,FALSE,18-29,15,18-74
S92000003,All Scotland,2022-06-19,2022,6,19,FALSE,18-29,13,18-74
S92000003,All Scotland,2022-06-26,2022,6,26,FALSE,18-29,21,18-74
S92000003,All Scotland,2022-07-03,2022,7,3,FALSE,18-29,18,18-74
S92000003,All Scotland,2022-07-10,2022,7,10,FALSE,18-29,26,18-74
S92000003,All Scotland,2022-07-17,2022,7,17,FALSE,18-29,25,18-74
S92000003,All Scotland,2022-07-24,2022,7,24,FALSE,18-29,16,18-74
S92000003,All Scotland,2022-07-31,2022,7,31,FALSE,18-29,5,18-74
S92000003,All Scotland,2022-08-07,2022,8,7,FALSE,18-29,9,18-74
S92000003,All Scotland,2022-08-14,2022,8,14,FALSE,18-29,8,18-74
S92000003,All Scotland,2022-08-21,2022,8,21,FALSE,18-29,NA,18-74
S92000003,All Scotland,2022-08-28,2022,8,28,FALSE,18-29,8,18-74
S92000003,All Scotland,2022-09-04,2022,9,4,FALSE,18-29,9,18-74
S92000003,All Scotland,2022-09-11,2022,9,11,FALSE,18-29,10,18-74
S92000003,All Scotland,2022-09-18,2022,9,18,FALSE,18-29,7,18-74
S92000003,All Scotland,2022-09-25,2022,9,25,FALSE,18-29,9,18-74
S92000003,All Scotland,2022-10-02,2022,10,2,TRUE,18-29,NA,18-74
S92000003,All Scotland,2022-10-09,2022,10,9,TRUE,18-29,NA,18-74
S92000003,All Scotland,2022-10-16,2022,10,16,TRUE,18-29,NA,18-74
S92000003,All Scotland,2020-03-01,2020,3,1,TRUE,30-39,0,18-74
S92000003,All Scotland,2020-03-08,2020,3,8,TRUE,30-39,NA,18-74
S92000003,All Scotland,2020-03-15,2020,3,15,TRUE,30-39,5,18-74
S92000003,All Scotland,2020-03-22,2020,3,22,TRUE,30-39,8,18-74
S92000003,All Scotland,2020-03-29,2020,3,29,TRUE,30-39,31,18-74
S92000003,All Scotland,2020-04-05,2020,4,5,FALSE,30-39,35,18-74
S92000003,All Scotland,2020-04-12,2020,4,12,FALSE,30-39,23,18-74
S92000003,All Scotland,2020-04-19,2020,4,19,FALSE,30-39,14,18-74
S92000003,All Scotland,2020-04-26,2020,4,26,FALSE,30-39,16,18-74
S92000003,All Scotland,2020-05-03,2020,5,3,FALSE,30-39,13,18-74
S92000003,All Scotland,2020-05-10,2020,5,10,FALSE,30-39,7,18-74
S92000003,All Scotland,2020-05-17,2020,5,17,FALSE,30-39,NA,18-74
S92000003,All Scotland,2020-05-24,2020,5,24,FALSE,30-39,6,18-74
S92000003,All Scotland,2020-05-31,2020,5,31,FALSE,30-39,NA,18-74
S92000003,All Scotland,2020-06-07,2020,6,7,FALSE,30-39,NA,18-74
S92000003,All Scotland,2020-06-14,2020,6,14,FALSE,30-39,NA,18-74
S92000003,All Scotland,2020-06-21,2020,6,21,FALSE,30-39,0,18-74
S92000003,All Scotland,2020-06-28,2020,6,28,FALSE,30-39,0,18-74
S92000003,All Scotland,2020-07-05,2020,7,5,FALSE,30-39,0,18-74
S92000003,All Scotland,2020-07-12,2020,7,12,FALSE,30-39,0,18-74
S92000003,All Scotland,2020-07-19,2020,7,19,FALSE,30-39,0,18-74
S92000003,All Scotland,2020-07-26,2020,7,26,FALSE,30-39,0,18-74
S92000003,All Scotland,2020-08-02,2020,8,2,FALSE,30-39,0,18-74
S92000003,All Scotland,2020-08-09,2020,8,9,FALSE,30-39,NA,18-74
S92000003,All Scotland,2020-08-16,2020,8,16,FALSE,30-39,0,18-74
S92000003,All Scotland,2020-08-23,2020,8,23,FALSE,30-39,NA,18-74
S92000003,All Scotland,2020-08-30,2020,8,30,FALSE,30-39,NA,18-74
S92000003,All Scotland,2020-09-06,2020,9,6,FALSE,30-39,NA,18-74
S92000003,All Scotland,2020-09-13,2020,9,13,FALSE,30-39,NA,18-74
S92000003,All Scotland,2020-09-20,2020,9,20,FALSE,30-39,NA,18-74
S92000003,All Scotland,2020-09-27,2020,9,27,FALSE,30-39,7,18-74
S92000003,All Scotland,2020-10-04,2020,10,4,TRUE,30-39,10,18-74
S92000003,All Scotland,2020-10-11,2020,10,11,TRUE,30-39,12,18-74
S92000003,All Scotland,2020-10-18,2020,10,18,TRUE,30-39,19,18-74
S92000003,All Scotland,2020-10-25,2020,10,25,TRUE,30-39,31,18-74
S92000003,All Scotland,2020-11-01,2020,11,1,TRUE,30-39,21,18-74
S92000003,All Scotland,2020-11-08,2020,11,8,TRUE,30-39,36,18-74
S92000003,All Scotland,2020-11-15,2020,11,15,TRUE,30-39,26,18-74
S92000003,All Scotland,2020-11-22,2020,11,22,TRUE,30-39,25,18-74
S92000003,All Scotland,2020-11-29,2020,11,29,TRUE,30-39,23,18-74
S92000003,All Scotland,2020-12-06,2020,12,6,TRUE,30-39,20,18-74
S92000003,All Scotland,2020-12-13,2020,12,13,TRUE,30-39,14,18-74
S92000003,All Scotland,2020-12-20,2020,12,20,TRUE,30-39,15,18-74
S92000003,All Scotland,2020-12-27,2020,12,27,TRUE,30-39,24,18-74
S92000003,All Scotland,2021-01-03,2021,1,3,TRUE,30-39,27,18-74
S92000003,All Scotland,2021-01-10,2021,1,10,TRUE,30-39,45,18-74
S92000003,All Scotland,2021-01-17,2021,1,17,TRUE,30-39,46,18-74
S92000003,All Scotland,2021-01-24,2021,1,24,TRUE,30-39,45,18-74
S92000003,All Scotland,2021-01-31,2021,1,31,TRUE,30-39,38,18-74
S92000003,All Scotland,2021-02-07,2021,2,7,TRUE,30-39,29,18-74
S92000003,All Scotland,2021-02-14,2021,2,14,TRUE,30-39,30,18-74
S92000003,All Scotland,2021-02-21,2021,2,21,TRUE,30-39,39,18-74
S92000003,All Scotland,2021-02-28,2021,2,28,TRUE,30-39,25,18-74
S92000003,All Scotland,2021-03-07,2021,3,7,TRUE,30-39,29,18-74
S92000003,All Scotland,2021-03-14,2021,3,14,TRUE,30-39,21,18-74
S92000003,All Scotland,2021-03-21,2021,3,21,TRUE,30-39,23,18-74
S92000003,All Scotland,2021-03-28,2021,3,28,TRUE,30-39,23,18-74
S92000003,All Scotland,2021-04-04,2021,4,4,FALSE,30-39,17,18-74
S92000003,All Scotland,2021-04-11,2021,4,11,FALSE,30-39,25,18-74
S92000003,All Scotland,2021-04-18,2021,4,18,FALSE,30-39,14,18-74
S92000003,All Scotland,2021-04-25,2021,4,25,FALSE,30-39,17,18-74
S92000003,All Scotland,2021-05-02,2021,5,2,FALSE,30-39,9,18-74
S92000003,All Scotland,2021-05-09,2021,5,9,FALSE,30-39,11,18-74
